codigo_producto,codigo_prov,descripcion,precio,cantidad,total,bod,movido,pendiente,lote,tipo_transaccion,fecha
799839285278,PROV001,CAFÉ INSTANTÁNEO 10G,1960,21,16800,1,21,0,LOT202306,COMPRA,2023-12-11 03:30:38.116075167
743543068824,PROV001,CARGADOR USB 2.4A,1345,13,6500,1,13,0,LOT202372,COMPRA,2023-04-09 14:43:19.939697306
743752337768,PROV005,BEBIDA COCA COLA 500ML,1595,24,6960,1,24,0,LOT202340,COMPRA,2023-01-05 09:11:04.728637048
743543068824,PROV005,CARGADOR USB 2.4A,1345,30,15000,1,30,0,LOT202317,COMPRA,2023-03-11 12:09:42.344622898
703102912177,PROV004,LECHE EN POLVO 400G,2800,19,53200,1,19,0,LOT202356,COMPRA,2023-09-12 15:17:55.143230549
769620372572,PROV002,CHOCOLATE NESTLE 45G,940,28,61320,1,28,0,LOT202348,COMPRA,2023-09-23 10:06:43.733890291
753061660635,PROV004,GOMA DE MASCAR 5UN,1145,20,8000,1,20,0,LOT202359,COMPRA,2023-06-18 18:53:03.432106132
778115056522,PROV001,ADAPTADOR HDMI-VGA,1090,9,2610,1,9,0,LOT202323,COMPRA,2023-07-21 22:14:09.720695786
777858530950,PROV004,GALLETA MARIA 200G,1790,17,30430,1,17,0,LOT202351,COMPRA,2023-03-04 19:36:27.625154568
715902139323,PROV001,BARRA DE CEREAL 30G,1350,29,63800,1,29,0,LOT202333,COMPRA,2023-05-27 09:39:12.188843138
725515179735,PROV002,ENERGIZANTE MR BUBBLE 250ML,1733,7,6300,1,7,0,LOT202367,COMPRA,2023-02-25 17:25:15.916087806
792379607791,PROV005,PASTA DIENTES COLGATE 90ML,1345,10,1000,1,10,0,LOT202399,COMPRA,2023-12-27 14:04:01.397960881
778115056522,PROV002,ADAPTADOR HDMI-VGA,1090,20,45800,1,20,0,LOT202326,COMPRA,2023-10-19 07:27:44.334430577
703102912177,PROV003,LECHE EN POLVO 400G,2800,8,22400,1,8,0,LOT202393,COMPRA,2023-07-18 14:18:17.448188445
715902139323,PROV003,BARRA DE CEREAL 30G,1350,13,6500,1,13,0,LOT202392,COMPRA,2023-03-02 17:16:25.865972613
743752337768,PROV004,BEBIDA COCA COLA 500ML,1595,25,7250,1,25,0,LOT202369,COMPRA,2023-06-05 02:22:04.768506008
769620372572,PROV001,CHOCOLATE NESTLE 45G,940,21,3990,1,21,0,LOT202394,COMPRA,2023-11-19 06:34:25.314390047
707037023369,PROV004,MEMORIA SD 32GB,1750,25,35000,1,25,0,LOT202381,COMPRA,2023-09-21 16:55:00.882035927
743752337768,PROV005,BEBIDA COCA COLA 500ML,1595,7,2030,1,7,0,LOT202372,COMPRA,2023-07-24 14:32:45.392664256
723241178329,PROV003,SUAVIZANTE AYUDIN 500ML,1290,14,18060,1,14,0,LOT202381,COMPRA,2023-07-13 03:16:31.714047640
757114722560,PROV001,PASTEL DE MANJAR 80G,1790,28,50120,1,28,0,LOT202325,COMPRA,2023-09-26 06:34:12.540226868
778115056522,PROV004,ADAPTADOR HDMI-VGA,1090,24,54960,1,24,0,LOT202360,COMPRA,2023-02-22 07:29:12.572277831
769620372572,PROV004,CHOCOLATE NESTLE 45G,940,28,10920,1,28,0,LOT202327,COMPRA,2023-12-07 07:36:52.208504121
778582867497,PROV004,GOMA DE MASCAR FRUTILLA 5UN,2990,6,17940,1,6,0,LOT202380,COMPRA,2023-06-13 06:11:43.287186587
725515179735,PROV003,ENERGIZANTE MR BUBBLE 250ML,1733,23,43700,1,23,0,LOT202304,COMPRA,2023-11-20 11:16:59.043392820
743543068824,PROV003,CARGADOR USB 2.4A,1345,30,38700,1,30,0,LOT202311,COMPRA,2023-03-28 17:57:43.837594977
769620372572,PROV001,CHOCOLATE NESTLE 45G,940,29,63510,1,29,0,LOT202321,COMPRA,2023-02-18 15:57:24.321984406
769620372572,PROV001,CHOCOLATE NESTLE 45G,940,17,3230,1,17,0,LOT202377,COMPRA,2023-11-08 14:50:31.464616197
716447097258,PROV005,CHIPS DE PAPA 35G,2000,5,10000,1,5,0,LOT202395,COMPRA,2023-11-08 18:16:59.361617917
777858530950,PROV002,GALLETA MARIA 200G,1790,6,10740,1,6,0,LOT202336,COMPRA,2023-08-01 06:28:18.450415960
731342889773,PROV002,CABLE JACK 3.5MM 1MT,740,9,2610,1,9,0,LOT202390,COMPRA,2023-08-14 15:58:40.748555392
703377007955,PROV003,GEL ALCOHÓLICO 100ML,1442,26,33540,1,26,0,LOT202313,COMPRA,2023-06-22 12:12:26.572948166
703377007955,PROV005,GEL ALCOHÓLICO 100ML,1442,12,14400,1,12,0,LOT202323,COMPRA,2023-01-20 05:57:01.542564954
731342889773,PROV004,CABLE JACK 3.5MM 1MT,740,6,7140,1,6,0,LOT202317,COMPRA,2023-12-22 17:40:48.755710129
743543068824,PROV005,CARGADOR USB 2.4A,1345,9,19710,1,9,0,LOT202394,COMPRA,2023-01-08 13:27:46.230858673
703377007955,PROV003,GEL ALCOHÓLICO 100ML,1442,27,34830,1,27,0,LOT202356,COMPRA,2023-09-20 23:28:26.164679127
759743227841,PROV005,CABLE USB 1MT,2057,22,23980,1,22,0,LOT202353,COMPRA,2023-01-01 04:50:27.591228628
792379607791,PROV003,PASTA DIENTES COLGATE 90ML,1345,29,2900,1,29,0,LOT202341,COMPRA,2023-06-14 18:39:38.330128176
792379607791,PROV003,PASTA DIENTES COLGATE 90ML,1345,8,800,1,8,0,LOT202399,COMPRA,2023-10-31 11:17:24.907533332
737328112719,PROV001,PALITOS SALADOS 100G,1700,28,47600,1,28,0,LOT202350,COMPRA,2023-09-21 00:21:54.000279568
715073335721,PROV002,DETERGENTE ARIEL 500G,1240,23,18170,1,23,0,LOT202314,COMPRA,2023-07-31 02:09:38.701251307
731342889773,PROV005,CABLE JACK 3.5MM 1MT,740,14,4060,1,14,0,LOT202314,COMPRA,2023-09-10 02:29:44.927716515
703377007955,PROV003,GEL ALCOHÓLICO 100ML,1442,9,11610,1,9,0,LOT202389,COMPRA,2023-10-04 03:41:34.135970762
723241178329,PROV002,SUAVIZANTE AYUDIN 500ML,1290,28,36120,1,28,0,LOT202382,COMPRA,2023-03-30 19:27:17.104346197
725515179735,PROV002,ENERGIZANTE MR BUBBLE 250ML,1733,8,19200,1,8,0,LOT202391,COMPRA,2023-04-23 14:15:06.091417695
743752337768,PROV005,BEBIDA COCA COLA 500ML,1595,5,14500,1,5,0,LOT202329,COMPRA,2023-06-29 06:39:48.183932715
753619764384,PROV003,PARAGUAS TRANSPARENTE,590,16,9440,1,16,0,LOT202358,COMPRA,2023-12-18 01:55:31.789532035
737328112719,PROV005,PALITOS SALADOS 100G,1700,22,37400,1,22,0,LOT202361,COMPRA,2023-12-17 06:06:18.517047842
743752337768,PROV004,BEBIDA COCA COLA 500ML,1595,13,37700,1,13,0,LOT202351,COMPRA,2023-09-11 23:43:32.230364804
757114722560,PROV003,PASTEL DE MANJAR 80G,1790,23,41170,1,23,0,LOT202382,COMPRA,2023-07-10 05:54:18.213267287
759743227841,PROV002,CABLE USB 1MT,2057,24,50160,1,24,0,LOT202383,COMPRA,2023-09-26 02:27:40.627481910
715073335721,PROV005,DETERGENTE ARIEL 500G,1240,22,37180,1,22,0,LOT202390,COMPRA,2023-04-25 15:55:42.129203846
757114722560,PROV003,PASTEL DE MANJAR 80G,1790,18,32220,1,18,0,LOT202351,COMPRA,2023-03-24 12:54:09.987997855
715073335721,PROV001,DETERGENTE ARIEL 500G,1240,25,19750,1,25,0,LOT202395,COMPRA,2023-12-25 15:50:18.461512051
792379607791,PROV003,PASTA DIENTES COLGATE 90ML,1345,30,3000,1,30,0,LOT202391,COMPRA,2023-07-24 17:48:16.368844474
723750230102,PROV004,VELA AROMÁTICA,2700,24,64800,1,24,0,LOT202341,COMPRA,2023-10-13 19:04:11.268824132
743543068824,PROV001,CARGADOR USB 2.4A,1345,7,9800,1,7,0,LOT202367,COMPRA,2023-10-28 09:57:27.465526448
769620372572,PROV005,CHOCOLATE NESTLE 45G,940,10,21900,1,10,0,LOT202344,COMPRA,2023-09-12 02:26:56.387900310
707037023369,PROV004,MEMORIA SD 32GB,1750,26,36400,1,26,0,LOT202313,COMPRA,2023-09-05 07:18:51.883685187
703377007955,PROV005,GEL ALCOHÓLICO 100ML,1442,13,11570,1,13,0,LOT202303,COMPRA,2023-10-23 02:38:26.123398446
