codigo_producto,descripcion,precio,cantidad,total,tipo_transaccion,fecha,folio_origen
703377007955,GEL ALCOHÓLICO 100ML,2170,2,3000,VENTA,2023-02-24 15:08:49.951331131,1149
724030223967,ALCOHOL GEL 100ML,3095,2,6380,VENTA,2023-02-24 18:50:06.916733840,1048
725515179735,ENERGIZANTE MR BUBBLE 250ML,1733,7,6300,COMPRA,2023-02-25 17:25:15.916087806,LOT202367
703377007955,GEL ALCOHÓLICO 100ML,2170,2,7400,VENTA,2023-02-26 11:09:03.330242946,1084
759743227841,CABLE USB 1MT,3563,2,6180,VENTA,2023-02-26 17:51:21.709259837,1130
703377007955,GEL ALCOHÓLICO 100ML,2170,1,1500,VENTA,2023-02-27 11:04:22.209904361,1140
731342889773,CABLE JACK 3.5MM 1MT,1195,2,1180,VENTA,2023-02-28 16:19:54.869614426,1082
753061660635,GOMA DE MASCAR 5UN,1895,1,3000,VENTA,2023-03-02 13:40:13.660205781,1096
715902139323,BARRA DE CEREAL 30G,1350,13,6500,COMPRA,2023-03-02 17:16:25.865972613,LOT202392
757114722560,PASTEL DE MANJAR 80G,2990,1,2990,VENTA,2023-03-03 01:26:02.138405327,1089
743752337768,BEBIDA COCA COLA 500ML,2800,1,5100,VENTA,2023-03-04 09:48:16.976710428,1017
777858530950,GALLETA MARIA 200G,1790,17,30430,COMPRA,2023-03-04 19:36:27.625154568,LOT202351
757114722560,PASTEL DE MANJAR 80G,2990,2,5980,VENTA,2023-03-05 05:45:56.592005069,1139
715073335721,DETERGENTE ARIEL 500G,2000,1,2600,VENTA,2023-03-05 16:35:48.570838546,1016
769620372572,CHOCOLATE NESTLE 45G,1768,2,3780,VENTA,2023-03-05 18:19:02.094032120,1115
753061660635,GOMA DE MASCAR 5UN,1895,2,1580,VENTA,2023-03-07 06:11:45.085274644,1041
792379607791,PASTA DIENTES COLGATE 90ML,1795,2,380,VENTA,2023-03-07 18:48:39.470406589,1079
759743227841,CABLE USB 1MT,3563,2,4000,VENTA,2023-03-08 15:28:18.714241768,1144
723241178329,SUAVIZANTE AYUDIN 500ML,1900,2,3800,VENTA,2023-03-10 11:22:12.811271562,1173
769620372572,CHOCOLATE NESTLE 45G,1768,1,500,VENTA,2023-03-10 11:38:24.249051840,1130
743543068824,CARGADOR USB 2.4A,1345,30,15000,COMPRA,2023-03-11 12:09:42.344622898,LOT202317
759743227841,CABLE USB 1MT,3563,2,11200,VENTA,2023-03-12 13:42:56.430324203,1051
769620372572,CHOCOLATE NESTLE 45G,1768,1,1890,VENTA,2023-03-13 21:14:46.175274824,1147
799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,7800,VENTA,2023-03-14 05:39:12.155145384,1198
703377007955,GEL ALCOHÓLICO 100ML,2170,2,7400,VENTA,2023-03-14 13:14:43.742637597,1055
799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,9600,VENTA,2023-03-15 00:41:28.802759484,1140
759743227841,CABLE USB 1MT,3563,2,4000,VENTA,2023-03-15 01:00:54.058149788,1055
757114722560,PASTEL DE MANJAR 80G,2990,2,5980,VENTA,2023-03-15 06:32:03.396665240,1194
737328112719,PALITOS SALADOS 100G,1700,25,42500,COMPRA,2023-03-16 23:41:36.197133427,LOT202355
769620372572,CHOCOLATE NESTLE 45G,1768,2,1000,VENTA,2023-03-17 13:07:25.856006417,1034
743543068824,CARGADOR USB 2.4A,2272,2,1600,VENTA,2023-03-18 14:12:48.133540187,1051
725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,2,6380,VENTA,2023-03-18 22:15:49.901631475,1111
703377007955,GEL ALCOHÓLICO 100ML,2170,1,3700,VENTA,2023-03-19 12:32:28.992570150,1019
707037023369,MEMORIA SD 32GB,3300,2,5400,VENTA,2023-03-19 13:34:27.129144085,1006
778115056522,ADAPTADOR HDMI-VGA,1463,1,490,VENTA,2023-03-19 19:43:28.583234866,1126
703377007955,GEL ALCOHÓLICO 100ML,2170,1,1500,VENTA,2023-03-21 10:51:53.261870919,1135
703377007955,GEL ALCOHÓLICO 100ML,1442,6,7740,COMPRA,2023-03-21 16:18:09.263502108,LOT202346
778582867497,GOMA DE MASCAR FRUTILLA 5UN,2990,25,74750,COMPRA,2023-03-22 10:45:14.230708078,LOT202394
737328112719,PALITOS SALADOS 100G,2990,1,2990,VENTA,2023-03-22 22:07:40.640642499,1114
703377007955,GEL ALCOHÓLICO 100ML,2170,2,3580,VENTA,2023-03-23 01:05:47.877881956,1031
725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,2,6380,VENTA,2023-03-23 15:46:49.518600275,1108
707037023369,MEMORIA SD 32GB,3300,2,7800,VENTA,2023-03-24 02:17:08.214774805,1073
769620372572,CHOCOLATE NESTLE 45G,1768,1,4390,VENTA,2023-03-24 02:26:59.154741782,1132
757114722560,PASTEL DE MANJAR 80G,1790,18,32220,COMPRA,2023-03-24 12:54:09.987997855,LOT202351
743543068824,CARGADOR USB 2.4A,2272,1,2190,VENTA,2023-03-27 10:32:02.206899573,1100
703377007955,GEL ALCOHÓLICO 100ML,2170,1,1790,VENTA,2023-03-28 02:18:48.977980694,1167
778115056522,ADAPTADOR HDMI-VGA,1463,2,980,VENTA,2023-03-28 10:29:20.289858497,1113
759743227841,CABLE USB 1MT,2057,22,23980,COMPRA,2023-03-28 12:53:56.111077048,LOT202307
743543068824,CARGADOR USB 2.4A,1345,30,38700,COMPRA,2023-03-28 17:57:43.837594977,LOT202311
753619764384,PARAGUAS TRANSPARENTE,800,2,1600,VENTA,2023-03-29 03:01:36.635132505,1073
715902139323,BARRA DE CEREAL 30G,2540,1,990,VENTA,2023-03-30 06:51:37.882884765,1146
703377007955,GEL ALCOHÓLICO 100ML,2170,1,1690,VENTA,2023-03-30 15:17:38.384023005,1013
799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,7800,VENTA,2023-03-30 16:24:43.753428698,1151
723241178329,SUAVIZANTE AYUDIN 500ML,1290,28,36120,COMPRA,2023-03-30 19:27:17.104346197,LOT202382
799839285278,CAFÉ INSTANTÁNEO 10G,3397,1,1490,VENTA,2023-03-31 04:16:24.886442046,1154
759743227841,CABLE USB 1MT,3563,2,6180,VENTA,2023-03-31 15:43:46.348372223,1180
769620372572,CHOCOLATE NESTLE 45G,1768,2,580,VENTA,2023-04-01 20:03:49.934699355,1018
778115056522,ADAPTADOR HDMI-VGA,1090,15,4350,COMPRA,2023-04-04 09:46:58.785180012,LOT202306
799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,7800,VENTA,2023-04-04 19:57:38.983190969,1144
743752337768,BEBIDA COCA COLA 500ML,2800,2,10200,VENTA,2023-04-06 18:22:01.300814035,1124
799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,9600,VENTA,2023-04-07 06:05:33.560310882,1092
715902139323,BARRA DE CEREAL 30G,2540,2,8180,VENTA,2023-04-07 18:34:46.999127331,1087
743543068824,CARGADOR USB 2.4A,1345,13,6500,COMPRA,2023-04-09 14:43:19.939697306,LOT202372
769620372572,CHOCOLATE NESTLE 45G,1768,2,1000,VENTA,2023-04-10 11:01:37.627598665,1163
731342889773,CABLE JACK 3.5MM 1MT,1195,1,1800,VENTA,2023-04-10 15:28:25.207837258,1146
724030223967,ALCOHOL GEL 100ML,3095,1,3000,VENTA,2023-04-11 13:43:22.341560316,1103
737328112719,PALITOS SALADOS 100G,2990,1,2990,VENTA,2023-04-11 18:35:19.665392568,1121
759743227841,CABLE USB 1MT,2057,11,22990,COMPRA,2023-04-13 19:55:14.954627509,LOT202307
707037023369,MEMORIA SD 32GB,3300,1,2700,VENTA,2023-04-17 12:36:17.182726762,1124
799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,7800,VENTA,2023-04-18 09:41:30.135829387,1040
777858530950,GALLETA MARIA 200G,2600,2,5200,VENTA,2023-04-18 13:25:08.691953442,1072
715073335721,DETERGENTE ARIEL 500G,2000,1,2600,VENTA,2023-04-18 20:07:21.974281536,1196
753061660635,GOMA DE MASCAR 5UN,1895,1,3000,VENTA,2023-04-19 07:10:23.281218629,1186
715902139323,BARRA DE CEREAL 30G,2540,2,1980,VENTA,2023-04-20 10:06:24.475289921,1194
769620372572,CHOCOLATE NESTLE 45G,1768,1,1890,VENTA,2023-04-20 14:24:59.712652486,1006
725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,1,3190,VENTA,2023-04-20 14:28:30.159617891,1083
778115056522,ADAPTADOR HDMI-VGA,1463,2,5800,VENTA,2023-04-22 13:41:50.442543259,1050
725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,2,6380,VENTA,2023-04-22 23:26:17.041892749,1068
725515179735,ENERGIZANTE MR BUBBLE 250ML,1733,8,19200,COMPRA,2023-04-23 14:15:06.091417695,LOT202391
743543068824,CARGADOR USB 2.4A,2272,2,8600,VENTA,2023-04-25 04:12:29.828856780,1147
715073335721,DETERGENTE ARIEL 500G,1240,22,37180,COMPRA,2023-04-25 15:55:42.129203846,LOT202390
769620372572,CHOCOLATE NESTLE 45G,1768,2,1000,VENTA,2023-04-26 00:22:58.095702882,1115
743752337768,BEBIDA COCA COLA 500ML,2800,2,10200,VENTA,2023-04-26 11:52:10.767540842,1177
778115056522,ADAPTADOR HDMI-VGA,1463,2,5800,VENTA,2023-04-27 05:56:53.000229848,1178
707037023369,MEMORIA SD 32GB,3300,2,7800,VENTA,2023-04-27 07:55:37.211808037,1185
769620372572,CHOCOLATE NESTLE 45G,1768,2,580,VENTA,2023-04-27 17:07:59.481893196,1046
769620372572,CHOCOLATE NESTLE 45G,1768,1,500,VENTA,2023-04-29 07:59:56.516672834,1161
778115056522,ADAPTADOR HDMI-VGA,1463,2,2000,VENTA,2023-04-29 18:03:53.046967951,1184
743543068824,CARGADOR USB 2.4A,2272,2,8600,VENTA,2023-04-30 22:31:25.205708985,1119
707037023369,MEMORIA SD 32GB,3300,2,7800,VENTA,2023-05-01 15:36:18.886676560,1048
737328112719,PALITOS SALADOS 100G,2990,2,5980,VENTA,2023-05-02 09:31:59.885150410,1074
799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,7800,VENTA,2023-05-03 21:03:49.271777655,1098
769620372572,CHOCOLATE NESTLE 45G,1768,1,4390,VENTA,2023-05-04 09:35:11.476431305,1040
716447097258,CHIPS DE PAPA 35G,3490,2,6980,VENTA,2023-05-05 10:09:28.141843308,1038
703377007955,GEL ALCOHÓLICO 100ML,2170,1,1690,VENTA,2023-05-06 22:03:50.730974351,1183
724030223967,ALCOHOL GEL 100ML,3095,1,3000,VENTA,2023-05-07 23:27:49.693139369,1024
792379607791,PASTA DIENTES COLGATE 90ML,1795,2,6800,VENTA,2023-05-08 04:25:58.069692229,1004
753061660635,GOMA DE MASCAR 5UN,1145,10,4000,COMPRA,2023-05-08 22:55:28.792605092,LOT202329
743543068824,CARGADOR USB 2.4A,2272,2,1600,VENTA,2023-05-09 05:55:46.148014395,1056
724030223967,ALCOHOL GEL 100ML,3095,2,6000,VENTA,2023-05-10 19:43:44.204740125,1010
743543068824,CARGADOR USB 2.4A,2272,2,4380,VENTA,2023-05-11 10:18:30.321437036,1025
715073335721,DETERGENTE ARIEL 500G,2000,2,5200,VENTA,2023-05-13 09:30:13.982602200,1002
743543068824,CARGADOR USB 2.4A,2272,1,2190,VENTA,2023-05-13 14:49:12.472802035,1050
757114722560,PASTEL DE MANJAR 80G,2990,2,5980,VENTA,2023-05-15 06:24:16.172094119,1166
799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,2980,VENTA,2023-05-15 10:43:41.451461103,1028
715073335721,DETERGENTE ARIEL 500G,2000,1,2600,VENTA,2023-05-15 15:41:31.058050572,1173
715902139323,BARRA DE CEREAL 30G,2540,2,1980,VENTA,2023-05-16 15:04:34.127123409,1111
703377007955,GEL ALCOHÓLICO 100ML,2170,1,1500,VENTA,2023-05-17 03:52:32.113453876,1129
715073335721,DETERGENTE ARIEL 500G,2000,2,2800,VENTA,2023-05-17 12:15:23.036329947,1030
703377007955,GEL ALCOHÓLICO 100ML,2170,1,1690,VENTA,2023-05-17 18:47:12.110625332,1044
778115056522,ADAPTADOR HDMI-VGA,1463,1,1000,VENTA,2023-05-17 18:55:17.952095254,1118
731342889773,CABLE JACK 3.5MM 1MT,1195,2,1180,VENTA,2023-05-18 06:25:55.764978633,1079
753619764384,PARAGUAS TRANSPARENTE,800,1,800,VENTA,2023-05-18 15:41:52.932189161,1057
723241178329,SUAVIZANTE AYUDIN 500ML,1900,2,3800,VENTA,2023-05-19 01:09:31.507912505,1085
743543068824,CARGADOR USB 2.4A,2272,2,1600,VENTA,2023-05-19 19:47:24.613266456,1013
715902139323,BARRA DE CEREAL 30G,2540,1,990,VENTA,2023-05-19 22:14:52.460700734,1150
753619764384,PARAGUAS TRANSPARENTE,800,1,800,VENTA,2023-05-21 12:58:50.374486872,1026
703102912177,LECHE EN POLVO 400G,2800,10,28000,COMPRA,2023-05-22 10:05:06.210967599,LOT202306
703377007955,GEL ALCOHÓLICO 100ML,2170,2,7400,VENTA,2023-05-22 14:01:53.004431649,1174
777858530950,GALLETA MARIA 200G,2600,2,5200,VENTA,2023-05-23 01:47:37.016875635,1116
703102912177,LECHE EN POLVO 400G,4790,2,9580,VENTA,2023-05-23 09:02:28.015256344,1076
769620372572,CHOCOLATE NESTLE 45G,1768,2,3780,VENTA,2023-05-23 13:01:20.740441092,1014
769620372572,CHOCOLATE NESTLE 45G,1768,2,8780,VENTA,2023-05-25 00:25:40.799446195,1191
724030223967,ALCOHOL GEL 100ML,3095,1,3000,VENTA,2023-05-25 03:54:39.464202866,1028
792379607791,PASTA DIENTES COLGATE 90ML,1795,1,3400,VENTA,2023-05-25 21:16:38.055959035,1048
743543068824,CARGADOR USB 2.4A,2272,2,1600,VENTA,2023-05-26 01:46:53.213297838,1174
715902139323,BARRA DE CEREAL 30G,2540,1,990,VENTA,2023-05-26 03:10:06.005624551,1053
778115056522,ADAPTADOR HDMI-VGA,1463,2,980,VENTA,2023-05-26 11:50:12.065806912,1182
715902139323,BARRA DE CEREAL 30G,1350,29,63800,COMPRA,2023-05-27 09:39:12.188843138,LOT202333
703377007955,GEL ALCOHÓLICO 100ML,1442,24,28800,COMPRA,2023-05-28 23:26:09.417473628,LOT202353
799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,7800,VENTA,2023-05-29 20:19:20.473287431,1184
715902139323,BARRA DE CEREAL 30G,2540,1,990,VENTA,2023-05-30 04:48:01.357621731,1067
723241178329,SUAVIZANTE AYUDIN 500ML,1900,1,1900,VENTA,2023-05-30 14:53:58.097686623,1110
753061660635,GOMA DE MASCAR 5UN,1895,1,790,VENTA,2023-05-31 02:46:32.269070084,1012
725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,1,1590,VENTA,2023-06-01 11:53:48.190466740,1157
743543068824,CARGADOR USB 2.4A,2272,1,4300,VENTA,2023-06-03 08:59:11.428977585,1175
716447097258,CHIPS DE PAPA 35G,3490,1,3490,VENTA,2023-06-04 01:26:59.822759043,1191
759743227841,CABLE USB 1MT,3563,1,2000,VENTA,2023-06-04 08:48:59.947071382,1026
715073335721,DETERGENTE ARIEL 500G,2000,1,2600,VENTA,2023-06-05 01:53:53.110866397,1029
743752337768,BEBIDA COCA COLA 500ML,1595,25,7250,COMPRA,2023-06-05 02:22:04.768506008,LOT202369
743752337768,BEBIDA COCA COLA 500ML,2800,2,1000,VENTA,2023-06-05 17:01:31.804623356,1033
778115056522,ADAPTADOR HDMI-VGA,1090,24,16560,COMPRA,2023-06-06 21:52:32.868381905,LOT202361
769620372572,CHOCOLATE NESTLE 45G,1768,1,1890,VENTA,2023-06-08 23:15:04.937882025,1072
778115056522,ADAPTADOR HDMI-VGA,1463,1,1000,VENTA,2023-06-10 13:38:37.770764938,1045
703102912177,LECHE EN POLVO 400G,2800,5,14000,COMPRA,2023-06-12 06:57:41.131536854,LOT202306
737328112719,PALITOS SALADOS 100G,2990,2,5980,VENTA,2023-06-12 23:20:48.606124792,1018
743543068824,CARGADOR USB 2.4A,2272,2,8600,VENTA,2023-06-13 03:29:15.901567420,1162
778582867497,GOMA DE MASCAR FRUTILLA 5UN,2990,6,17940,COMPRA,2023-06-13 06:11:43.287186587,LOT202380
753619764384,PARAGUAS TRANSPARENTE,800,2,1600,VENTA,2023-06-14 01:18:01.490357864,1073
725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,1,4000,VENTA,2023-06-14 18:37:17.456435270,1101
792379607791,PASTA DIENTES COLGATE 90ML,1345,29,2900,COMPRA,2023-06-14 18:39:38.330128176,LOT202341
703102912177,LECHE EN POLVO 400G,4790,1,4790,VENTA,2023-06-14 22:37:57.854630299,1045
725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,1,4000,VENTA,2023-06-16 20:24:45.884912207,1138
769620372572,CHOCOLATE NESTLE 45G,1768,2,580,VENTA,2023-06-16 22:56:01.935020140,1021
753619764384,PARAGUAS TRANSPARENTE,800,2,1600,VENTA,2023-06-18 16:18:14.790894011,1166
753061660635,GOMA DE MASCAR 5UN,1145,20,8000,COMPRA,2023-06-18 18:53:03.432106132,LOT202359
743543068824,CARGADOR USB 2.4A,2272,1,2190,VENTA,2023-06-19 05:47:59.107860183,1087
769771202578,AGUA MINERAL 500ML,300,2,600,VENTA,2023-06-21 16:20:23.374525484,1058
799839285278,CAFÉ INSTANTÁNEO 10G,3397,1,1490,VENTA,2023-06-22 04:04:23.377625936,1172
703377007955,GEL ALCOHÓLICO 100ML,2170,1,3700,VENTA,2023-06-22 08:24:57.368215284,1131
731342889773,CABLE JACK 3.5MM 1MT,1195,1,1800,VENTA,2023-06-22 11:44:23.621369268,1083
703377007955,GEL ALCOHÓLICO 100ML,1442,26,33540,COMPRA,2023-06-22 12:12:26.572948166,LOT202313
703377007955,GEL ALCOHÓLICO 100ML,2170,2,3380,VENTA,2023-06-22 19:40:09.065761918,1019
743543068824,CARGADOR USB 2.4A,2272,2,8600,VENTA,2023-06-23 21:36:46.770722649,1121
777858530950,GALLETA MARIA 200G,2600,2,5200,VENTA,2023-06-23 22:36:54.780087525,1069
792379607791,PASTA DIENTES COLGATE 90ML,1795,1,190,VENTA,2023-06-25 23:33:22.751574614,1088
753061660635,GOMA DE MASCAR 5UN,1895,2,6000,VENTA,2023-06-26 18:21:53.772286367,1105
716447097258,CHIPS DE PAPA 35G,3490,2,6980,VENTA,2023-06-27 01:05:50.335271581,1100
759743227841,CABLE USB 1MT,3563,2,6180,VENTA,2023-06-27 04:48:29.768300809,1042
753619764384,PARAGUAS TRANSPARENTE,800,1,800,VENTA,2023-06-27 10:11:22.861502689,1081
799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,2980,VENTA,2023-06-27 13:18:25.676554615,1117
743752337768,BEBIDA COCA COLA 500ML,2800,2,1000,VENTA,2023-06-28 00:13:18.781088572,1005
725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,1,3190,VENTA,2023-06-28 14:46:58.661497649,1168
743752337768,BEBIDA COCA COLA 500ML,1595,5,14500,COMPRA,2023-06-29 06:39:48.183932715,LOT202329
777858530950,GALLETA MARIA 200G,1790,27,48330,COMPRA,2023-07-03 10:41:36.149504218,LOT202361
792379607791,PASTA DIENTES COLGATE 90ML,1795,2,380,VENTA,2023-07-04 03:48:56.707462460,1037
778115056522,ADAPTADOR HDMI-VGA,1463,2,980,VENTA,2023-07-05 08:38:50.972102459,1103
715902139323,BARRA DE CEREAL 30G,2540,2,8180,VENTA,2023-07-06 18:53:36.199927591,1144
724030223967,ALCOHOL GEL 100ML,3095,2,6000,VENTA,2023-07-08 16:56:26.074920113,1009
778115056522,ADAPTADOR HDMI-VGA,1463,1,1000,VENTA,2023-07-09 13:59:18.746674047,1014
792379607791,PASTA DIENTES COLGATE 90ML,1795,1,190,VENTA,2023-07-10 03:06:12.186461970,1018
757114722560,PASTEL DE MANJAR 80G,1790,23,41170,COMPRA,2023-07-10 05:54:18.213267287,LOT202382
731342889773,CABLE JACK 3.5MM 1MT,1195,2,3600,VENTA,2023-07-10 18:17:34.198171585,1140
769620372572,CHOCOLATE NESTLE 45G,1768,1,290,VENTA,2023-07-12 18:52:46.441268679,1169
723241178329,SUAVIZANTE AYUDIN 500ML,1290,14,18060,COMPRA,2023-07-13 03:16:31.714047640,LOT202381
703377007955,GEL ALCOHÓLICO 100ML,2170,1,1500,VENTA,2023-07-14 19:15:56.500813151,1028
792379607791,PASTA DIENTES COLGATE 90ML,1795,2,6800,VENTA,2023-07-15 15:08:30.908785451,1083
