folio,codigo_producto,descripcion,precio,cantidad,total,tipo_transaccion,fecha
1019,703377007955,GEL ALCOHÓLICO 100ML,2170,2,3380,VENTA,2023-04-22 03:16:54.099697604
1020,731342889773,CABLE JACK 3.5MM 1MT,1195,1,590,VENTA,2023-06-17 19:36:32.652912010
1020,799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,7800,VENTA,2023-02-03 12:11:42.661750350
1020,759743227841,CABLE USB 1MT,3563,1,2000,VENTA,2023-03-04 07:06:14.870644243
1021,769620372572,CHOCOLATE NESTLE 45G,1768,2,580,VENTA,2023-11-12 13:05:46.546695475
1022,707037023369,MEMORIA SD 32GB,3300,1,2700,VENTA,2023-10-04 14:16:33.904959076
1023,778115056522,ADAPTADOR HDMI-VGA,1463,1,490,VENTA,2023-08-21 18:01:15.942579649
1023,731342889773,CABLE JACK 3.5MM 1MT,1195,1,590,VENTA,2023-05-14 18:15:58.041984584
1023,759743227841,CABLE USB 1MT,3563,2,11200,VENTA,2023-08-10 07:08:26.647162308
1024,724030223967,ALCOHOL GEL 100ML,3095,1,3000,VENTA,2023-12-03 14:00:21.684659061
1025,743543068824,CARGADOR USB 2.4A,2272,2,4380,VENTA,2023-07-22 00:34:43.580945749
1025,778582867497,GOMA DE MASCAR FRUTILLA 5UN,5300,2,10600,VENTA,2023-12-18 08:21:41.741091243
1026,759743227841,CABLE USB 1MT,3563,1,2000,VENTA,2023-03-10 18:05:53.026083905
1026,753619764384,PARAGUAS TRANSPARENTE,800,1,800,VENTA,2023-04-02 23:08:15.729205391
1027,799839285278,CAFÉ INSTANTÁNEO 10G,3397,1,3900,VENTA,2023-04-12 05:16:51.114265039
1028,799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,2980,VENTA,2023-07-24 10:47:42.114572126
1028,724030223967,ALCOHOL GEL 100ML,3095,1,3000,VENTA,2023-10-02 08:30:58.778670849
1028,703377007955,GEL ALCOHÓLICO 100ML,2170,1,1500,VENTA,2023-12-10 01:46:56.751629571
1029,715073335721,DETERGENTE ARIEL 500G,2000,1,2600,VENTA,2023-11-16 17:14:26.052303832
1030,715073335721,DETERGENTE ARIEL 500G,2000,2,2800,VENTA,2023-02-05 15:20:23.724400552
1030,777858530950,GALLETA MARIA 200G,2600,2,5200,VENTA,2023-03-29 07:41:58.135973397
1031,703377007955,GEL ALCOHÓLICO 100ML,2170,2,3580,VENTA,2023-03-29 00:49:01.871529482
1031,769620372572,CHOCOLATE NESTLE 45G,1768,1,290,VENTA,2023-12-12 07:14:27.174742181
1031,703377007955,GEL ALCOHÓLICO 100ML,2170,2,7400,VENTA,2023-03-28 08:21:24.647802084
1032,743543068824,CARGADOR USB 2.4A,2272,2,1600,VENTA,2023-08-29 18:09:41.883154139
1033,743752337768,BEBIDA COCA COLA 500ML,2800,2,1000,VENTA,2023-08-23 07:15:56.533297100
1034,769620372572,CHOCOLATE NESTLE 45G,1768,2,1000,VENTA,2023-02-13 23:26:55.275997795
1034,707037023369,MEMORIA SD 32GB,3300,2,5400,VENTA,2023-04-01 05:39:27.049115694
1035,716447097258,CHIPS DE PAPA 35G,3490,1,3490,VENTA,2023-03-31 17:44:19.637700907
1036,743543068824,CARGADOR USB 2.4A,2272,1,2190,VENTA,2023-11-25 03:39:53.834387495
1036,703377007955,GEL ALCOHÓLICO 100ML,2170,1,1690,VENTA,2023-09-22 11:27:03.860465128
1036,769771202578,AGUA MINERAL 500ML,300,1,300,VENTA,2023-04-25 10:36:05.102082379
1037,792379607791,PASTA DIENTES COLGATE 90ML,1795,2,380,VENTA,2023-04-22 08:39:09.178286876
1037,715073335721,DETERGENTE ARIEL 500G,2000,2,5200,VENTA,2023-08-13 23:45:53.409380209
1038,799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,7800,VENTA,2023-02-28 22:12:12.066440854
1038,716447097258,CHIPS DE PAPA 35G,3490,2,6980,VENTA,2023-12-23 23:32:54.218937747
1038,725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,1,3190,VENTA,2023-02-23 00:37:33.002468756
1039,715073335721,DETERGENTE ARIEL 500G,2000,2,5200,VENTA,2023-07-19 16:57:29.296735970
1040,799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,7800,VENTA,2023-03-26 07:07:12.910523966
1040,769620372572,CHOCOLATE NESTLE 45G,1768,1,4390,VENTA,2023-07-28 19:53:59.758773761
1040,703377007955,GEL ALCOHÓLICO 100ML,2170,1,1690,VENTA,2023-03-12 21:29:42.068242489
1041,769620372572,CHOCOLATE NESTLE 45G,1768,1,290,VENTA,2023-08-19 03:23:25.590635541
1041,769771202578,AGUA MINERAL 500ML,300,1,300,VENTA,2023-12-21 11:32:11.500859990
1041,753061660635,GOMA DE MASCAR 5UN,1895,2,1580,VENTA,2023-01-07 06:31:56.049809665
1042,759743227841,CABLE USB 1MT,3563,2,6180,VENTA,2023-05-13 18:08:04.386813802
1043,743752337768,BEBIDA COCA COLA 500ML,2800,1,500,VENTA,2023-09-27 23:44:13.288192096
1043,769620372572,CHOCOLATE NESTLE 45G,1768,2,1000,VENTA,2023-04-21 22:40:24.733353775
1044,703377007955,GEL ALCOHÓLICO 100ML,2170,1,1690,VENTA,2023-09-10 13:57:00.596224317
1045,703102912177,LECHE EN POLVO 400G,4790,1,4790,VENTA,2023-12-16 00:50:21.704255636
1045,778115056522,ADAPTADOR HDMI-VGA,1463,1,1000,VENTA,2023-09-10 22:30:56.446582185
1046,778115056522,ADAPTADOR HDMI-VGA,1463,1,1000,VENTA,2023-05-26 09:38:57.590172062
1046,778115056522,ADAPTADOR HDMI-VGA,1463,2,2000,VENTA,2023-12-04 08:57:44.411047901
1046,769620372572,CHOCOLATE NESTLE 45G,1768,2,580,VENTA,2023-02-12 08:02:23.283405238
1047,778582867497,GOMA DE MASCAR FRUTILLA 5UN,5300,1,5300,VENTA,2023-08-04 12:50:16.550776191
1047,743752337768,BEBIDA COCA COLA 500ML,2800,2,1000,VENTA,2023-11-19 09:16:34.674922783
1047,723750230102,VELA AROMÁTICA,4000,2,8000,VENTA,2023-09-20 17:00:11.864975143
1048,724030223967,ALCOHOL GEL 100ML,3095,2,6380,VENTA,2023-06-26 11:57:04.251376669
1048,707037023369,MEMORIA SD 32GB,3300,2,7800,VENTA,2023-01-02 14:41:46.110356834
1048,792379607791,PASTA DIENTES COLGATE 90ML,1795,1,3400,VENTA,2023-07-25 20:33:01.485230791
1049,703377007955,GEL ALCOHÓLICO 100ML,2170,2,7400,VENTA,2023-03-28 23:25:07.585696593
1049,707037023369,MEMORIA SD 32GB,3300,2,7800,VENTA,2023-09-23 12:51:01.512756029
1050,778115056522,ADAPTADOR HDMI-VGA,1463,2,5800,VENTA,2023-10-14 11:43:16.325150075
1050,759743227841,CABLE USB 1MT,3563,2,4000,VENTA,2023-03-03 21:33:39.803283717
1050,743543068824,CARGADOR USB 2.4A,2272,1,2190,VENTA,2023-05-28 15:44:26.290412718
1051,743543068824,CARGADOR USB 2.4A,2272,2,1600,VENTA,2023-10-13 17:45:30.719719935
1051,759743227841,CABLE USB 1MT,3563,2,11200,VENTA,2023-01-29 06:14:27.598195613
1052,778115056522,ADAPTADOR HDMI-VGA,1463,1,1000,VENTA,2023-05-29 09:55:11.800686218
1053,715902139323,BARRA DE CEREAL 30G,2540,1,990,VENTA,2023-05-02 06:05:41.725111774
1053,731342889773,CABLE JACK 3.5MM 1MT,1195,1,1800,VENTA,2023-10-04 12:05:33.489408927
1053,757114722560,PASTEL DE MANJAR 80G,2990,2,5980,VENTA,2023-02-23 12:25:24.033295932
1054,757114722560,PASTEL DE MANJAR 80G,2990,2,5980,VENTA,2023-02-17 13:23:49.357722633
1055,703377007955,GEL ALCOHÓLICO 100ML,2170,2,7400,VENTA,2023-10-06 12:24:25.303863444
1055,759743227841,CABLE USB 1MT,3563,2,4000,VENTA,2023-09-01 22:39:11.328432236
1055,725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,2,6380,VENTA,2023-07-05 01:32:51.529560485
1056,743543068824,CARGADOR USB 2.4A,2272,2,1600,VENTA,2023-09-19 03:30:00.018073558
1057,753619764384,PARAGUAS TRANSPARENTE,800,1,800,VENTA,2023-01-06 13:44:40.284506044
1057,723750230102,VELA AROMÁTICA,4000,2,8000,VENTA,2023-08-15 20:07:08.774014914
1058,769771202578,AGUA MINERAL 500ML,300,2,600,VENTA,2023-04-06 18:42:40.274142433
1059,769771202578,AGUA MINERAL 500ML,300,2,600,VENTA,2023-09-04 21:53:19.709660733
1059,753061660635,GOMA DE MASCAR 5UN,1895,2,6000,VENTA,2023-05-06 08:31:55.814997707
1059,778115056522,ADAPTADOR HDMI-VGA,1463,1,490,VENTA,2023-08-13 03:27:06.820783956
1060,778582867497,GOMA DE MASCAR FRUTILLA 5UN,5300,2,10600,VENTA,2023-04-11 19:26:17.698661612
1060,777858530950,GALLETA MARIA 200G,2600,2,5200,VENTA,2023-06-16 23:01:14.120267221
1061,753619764384,PARAGUAS TRANSPARENTE,800,2,1600,VENTA,2023-03-16 13:17:30.739483743
1061,715073335721,DETERGENTE ARIEL 500G,2000,2,2800,VENTA,2023-07-27 21:47:02.331695260
1061,724030223967,ALCOHOL GEL 100ML,3095,1,3190,VENTA,2023-05-17 02:28:44.747279629
1062,759743227841,CABLE USB 1MT,3563,1,2000,VENTA,2023-12-06 15:30:49.819372086
1063,753061660635,GOMA DE MASCAR 5UN,1895,1,790,VENTA,2023-10-04 05:15:32.797554940
1064,724030223967,ALCOHOL GEL 100ML,3095,1,3190,VENTA,2023-03-22 10:44:49.971348542
1065,737328112719,PALITOS SALADOS 100G,2990,1,2990,VENTA,2023-06-03 07:31:02.841020803
1065,743543068824,CARGADOR USB 2.4A,2272,2,4380,VENTA,2023-07-19 00:58:24.991086773
1066,731342889773,CABLE JACK 3.5MM 1MT,1195,2,1180,VENTA,2023-10-14 13:55:40.096778889
1067,703377007955,GEL ALCOHÓLICO 100ML,2170,1,1790,VENTA,2023-12-01 19:11:44.653245504
1067,715902139323,BARRA DE CEREAL 30G,2540,1,990,VENTA,2023-04-19 07:38:52.772913152
1067,743543068824,CARGADOR USB 2.4A,2272,2,8600,VENTA,2023-10-09 16:02:59.018300900
1068,769620372572,CHOCOLATE NESTLE 45G,1768,1,290,VENTA,2023-08-05 15:53:34.217079023
1068,725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,2,6380,VENTA,2023-05-29 23:07:17.556001069
1069,703102912177,LECHE EN POLVO 400G,4790,2,9580,VENTA,2023-10-16 10:13:37.537175900
1069,715073335721,DETERGENTE ARIEL 500G,2000,1,2600,VENTA,2023-04-09 18:33:59.359063666
1069,777858530950,GALLETA MARIA 200G,2600,2,5200,VENTA,2023-01-31 17:46:23.170123751
1070,703377007955,GEL ALCOHÓLICO 100ML,2170,2,7400,VENTA,2023-02-04 12:25:19.013247326
1071,737328112719,PALITOS SALADOS 100G,2990,1,2990,VENTA,2023-11-16 15:46:39.369831314
1072,769620372572,CHOCOLATE NESTLE 45G,1768,1,1890,VENTA,2023-11-16 15:53:44.059461293
1072,777858530950,GALLETA MARIA 200G,2600,2,5200,VENTA,2023-03-24 13:26:49.437728834
1073,753619764384,PARAGUAS TRANSPARENTE,800,2,1600,VENTA,2023-06-07 01:05:53.453056501
1073,707037023369,MEMORIA SD 32GB,3300,2,7800,VENTA,2023-06-16 13:14:51.575808136
1073,753619764384,PARAGUAS TRANSPARENTE,800,2,1600,VENTA,2023-06-16 00:49:46.342416464
1074,737328112719,PALITOS SALADOS 100G,2990,2,5980,VENTA,2023-10-23 21:54:14.589071811
1075,743543068824,CARGADOR USB 2.4A,2272,1,4300,VENTA,2023-12-14 00:16:33.303281690
1075,743543068824,CARGADOR USB 2.4A,2272,2,3600,VENTA,2023-02-12 12:57:19.557341294
1075,753619764384,PARAGUAS TRANSPARENTE,800,1,800,VENTA,2023-07-28 17:36:11.232107928
1076,703102912177,LECHE EN POLVO 400G,4790,2,9580,VENTA,2023-04-04 23:33:47.228826367
1076,725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,1,4000,VENTA,2023-07-13 09:01:03.144571182
1076,715073335721,DETERGENTE ARIEL 500G,2000,2,5200,VENTA,2023-03-26 15:31:25.307229273
1077,737328112719,PALITOS SALADOS 100G,2990,1,2990,VENTA,2023-08-11 20:35:57.234974564
1077,703377007955,GEL ALCOHÓLICO 100ML,2170,1,3700,VENTA,2023-03-16 22:10:36.693737342
1078,769620372572,CHOCOLATE NESTLE 45G,1768,2,3780,VENTA,2023-10-03 03:44:01.099200955
1079,769620372572,CHOCOLATE NESTLE 45G,1768,1,290,VENTA,2023-06-14 01:27:29.135356434
1079,731342889773,CABLE JACK 3.5MM 1MT,1195,2,1180,VENTA,2023-06-24 11:37:43.745555939
1079,792379607791,PASTA DIENTES COLGATE 90ML,1795,2,380,VENTA,2023-12-09 21:41:08.172568317
1080,703377007955,GEL ALCOHÓLICO 100ML,2170,2,3380,VENTA,2023-07-06 21:01:23.475234128
1081,753619764384,PARAGUAS TRANSPARENTE,800,1,800,VENTA,2023-03-12 03:32:49.138896581
1081,743543068824,CARGADOR USB 2.4A,2272,2,4380,VENTA,2023-05-12 14:31:47.489812870
1081,743543068824,CARGADOR USB 2.4A,2272,2,3600,VENTA,2023-09-30 11:26:36.708244465
1082,725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,1,3190,VENTA,2023-07-22 10:44:40.441256873
1082,731342889773,CABLE JACK 3.5MM 1MT,1195,2,1180,VENTA,2023-09-12 00:50:58.237616607
1083,725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,1,3190,VENTA,2023-07-01 07:59:01.391027328
1083,792379607791,PASTA DIENTES COLGATE 90ML,1795,2,6800,VENTA,2023-05-05 23:42:16.979849473
1083,731342889773,CABLE JACK 3.5MM 1MT,1195,1,1800,VENTA,2023-12-16 04:11:52.987263386
1084,703377007955,GEL ALCOHÓLICO 100ML,2170,2,7400,VENTA,2023-10-01 03:17:28.566658541
1085,723241178329,SUAVIZANTE AYUDIN 500ML,1900,2,3800,VENTA,2023-09-28 22:52:12.555963683
1086,716447097258,CHIPS DE PAPA 35G,3490,1,3490,VENTA,2023-11-05 12:51:17.585137403
1086,769771202578,AGUA MINERAL 500ML,300,1,300,VENTA,2023-03-11 01:03:47.134854870
1087,715902139323,BARRA DE CEREAL 30G,2540,2,8180,VENTA,2023-10-26 03:19:22.142541351
1087,743543068824,CARGADOR USB 2.4A,2272,1,2190,VENTA,2023-11-17 17:35:41.908874530
1087,778115056522,ADAPTADOR HDMI-VGA,1463,1,490,VENTA,2023-11-28 17:03:40.914080826
1088,777858530950,GALLETA MARIA 200G,2600,2,5200,VENTA,2023-06-06 01:57:40.318305356
1088,792379607791,PASTA DIENTES COLGATE 90ML,1795,1,190,VENTA,2023-11-10 13:01:18.245469659
1088,724030223967,ALCOHOL GEL 100ML,3095,1,3190,VENTA,2023-05-03 06:28:07.333342534
1089,757114722560,PASTEL DE MANJAR 80G,2990,1,2990,VENTA,2023-03-19 22:48:14.876688521
1089,799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,9600,VENTA,2023-12-27 23:31:26.151231523
1089,725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,2,3180,VENTA,2023-04-07 07:42:02.186747984
1090,725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,2,3180,VENTA,2023-08-05 06:11:44.570403063
1091,792379607791,PASTA DIENTES COLGATE 90ML,1795,2,6800,VENTA,2023-11-07 01:58:40.693700063
1092,799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,9600,VENTA,2023-04-22 14:40:59.835654683
1092,703377007955,GEL ALCOHÓLICO 100ML,2170,2,3000,VENTA,2023-07-20 10:01:30.545803828
1092,743543068824,CARGADOR USB 2.4A,2272,1,4300,VENTA,2023-07-24 15:58:36.241744491
1093,769771202578,AGUA MINERAL 500ML,300,1,300,VENTA,2023-09-08 22:13:23.536255780
1094,707037023369,MEMORIA SD 32GB,3300,2,7800,VENTA,2023-11-11 13:03:16.672369866
1095,723750230102,VELA AROMÁTICA,4000,1,4000,VENTA,2023-09-09 21:14:36.424016229
1095,792379607791,PASTA DIENTES COLGATE 90ML,1795,2,380,VENTA,2023-10-31 10:20:46.852862779
1096,743752337768,BEBIDA COCA COLA 500ML,2800,2,1000,VENTA,2023-11-20 12:25:42.745953443
1096,703102912177,LECHE EN POLVO 400G,4790,1,4790,VENTA,2023-10-09 12:38:12.343907090
1096,753061660635,GOMA DE MASCAR 5UN,1895,1,3000,VENTA,2023-10-30 16:09:26.735697050
1097,731342889773,CABLE JACK 3.5MM 1MT,1195,2,1180,VENTA,2023-04-01 11:59:38.893389016
1098,723750230102,VELA AROMÁTICA,4000,1,4000,VENTA,2023-08-15 16:38:07.155726558
1098,731342889773,CABLE JACK 3.5MM 1MT,1195,1,590,VENTA,2023-06-25 08:26:00.873475240
1098,799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,7800,VENTA,2023-02-02 08:17:48.695406939
1099,725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,1,1590,VENTA,2023-06-11 10:39:07.420071155
1100,716447097258,CHIPS DE PAPA 35G,3490,2,6980,VENTA,2023-12-21 05:34:03.231602072
1100,743543068824,CARGADOR USB 2.4A,2272,1,2190,VENTA,2023-03-08 19:40:07.760920688
1100,743752337768,BEBIDA COCA COLA 500ML,2800,1,5100,VENTA,2023-08-09 00:10:02.103531897
1101,769620372572,CHOCOLATE NESTLE 45G,1768,1,500,VENTA,2023-09-15 05:38:30.761179600
1101,731342889773,CABLE JACK 3.5MM 1MT,1195,1,1800,VENTA,2023-05-17 05:20:33.600479869
1101,725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,1,4000,VENTA,2023-10-02 14:52:23.776483568
1102,715073335721,DETERGENTE ARIEL 500G,2000,2,2800,VENTA,2023-10-22 03:08:20.083157705
1102,778115056522,ADAPTADOR HDMI-VGA,1463,2,5800,VENTA,2023-05-06 02:26:20.306036977
1103,778115056522,ADAPTADOR HDMI-VGA,1463,2,980,VENTA,2023-12-03 09:10:09.923640254
1103,724030223967,ALCOHOL GEL 100ML,3095,1,3000,VENTA,2023-01-20 07:30:04.858095092
1104,715902139323,BARRA DE CEREAL 30G,2540,1,4090,VENTA,2023-10-17 01:08:22.180655350
1104,792379607791,PASTA DIENTES COLGATE 90ML,1795,2,6800,VENTA,2023-08-23 03:18:13.329475153
1105,731342889773,CABLE JACK 3.5MM 1MT,1195,2,1180,VENTA,2023-04-15 11:24:59.864530931
1105,753061660635,GOMA DE MASCAR 5UN,1895,2,6000,VENTA,2023-12-11 23:10:49.489490050
1106,703377007955,GEL ALCOHÓLICO 100ML,2170,2,3380,VENTA,2023-02-18 04:40:34.263791339
1107,703377007955,GEL ALCOHÓLICO 100ML,2170,2,3580,VENTA,2023-10-29 01:17:47.842799889
1107,769620372572,CHOCOLATE NESTLE 45G,1768,2,3780,VENTA,2023-05-05 16:21:40.285039799
1107,724030223967,ALCOHOL GEL 100ML,3095,2,6000,VENTA,2023-05-06 05:30:40.899064692
1108,731342889773,CABLE JACK 3.5MM 1MT,1195,1,590,VENTA,2023-07-18 01:29:00.098018383
1108,725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,2,6380,VENTA,2023-12-24 03:54:59.296879618
1109,743543068824,CARGADOR USB 2.4A,2272,2,1600,VENTA,2023-08-10 17:25:56.047757176
1110,723241178329,SUAVIZANTE AYUDIN 500ML,1900,1,1900,VENTA,2023-12-22 14:19:02.826099902
1111,715902139323,BARRA DE CEREAL 30G,2540,2,1980,VENTA,2023-03-12 05:44:32.317271683
1111,753619764384,PARAGUAS TRANSPARENTE,800,2,1600,VENTA,2023-04-03 23:44:49.147687324
1111,725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,2,6380,VENTA,2023-05-01 18:00:27.523759318
1112,778115056522,ADAPTADOR HDMI-VGA,1463,2,980,VENTA,2023-04-11 15:33:31.333777861
1113,778115056522,ADAPTADOR HDMI-VGA,1463,2,980,VENTA,2023-02-04 12:25:12.717823143
1113,799839285278,CAFÉ INSTANTÁNEO 10G,3397,1,4800,VENTA,2023-09-26 20:36:04.460208480
1113,731342889773,CABLE JACK 3.5MM 1MT,1195,1,590,VENTA,2023-07-16 00:48:06.852017629
1114,792379607791,PASTA DIENTES COLGATE 90ML,1795,1,3400,VENTA,2023-03-14 09:29:19.505564174
1114,769620372572,CHOCOLATE NESTLE 45G,1768,2,1000,VENTA,2023-10-06 07:56:28.237847940
1114,737328112719,PALITOS SALADOS 100G,2990,1,2990,VENTA,2023-03-21 11:37:21.597336929
1115,769620372572,CHOCOLATE NESTLE 45G,1768,2,1000,VENTA,2023-07-13 09:55:06.789759494
1115,724030223967,ALCOHOL GEL 100ML,3095,2,6380,VENTA,2023-11-25 04:49:51.201905890
1115,769620372572,CHOCOLATE NESTLE 45G,1768,2,3780,VENTA,2023-01-11 21:00:07.628513682
1116,777858530950,GALLETA MARIA 200G,2600,2,5200,VENTA,2023-10-16 15:24:20.580717197
1117,743543068824,CARGADOR USB 2.4A,2272,1,800,VENTA,2023-11-25 17:19:33.994368469
1117,799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,2980,VENTA,2023-04-19 02:31:03.459269380
1117,731342889773,CABLE JACK 3.5MM 1MT,1195,1,590,VENTA,2023-03-11 12:19:58.770225485
1118,715073335721,DETERGENTE ARIEL 500G,2000,2,5200,VENTA,2023-09-14 06:04:32.656708353
1118,778115056522,ADAPTADOR HDMI-VGA,1463,1,1000,VENTA,2023-01-13 15:04:18.951459583
1119,778115056522,ADAPTADOR HDMI-VGA,1463,1,1000,VENTA,2023-04-07 21:44:59.298830826
1119,743543068824,CARGADOR USB 2.4A,2272,2,8600,VENTA,2023-11-26 22:39:09.159025621
1120,715902139323,BARRA DE CEREAL 30G,2540,2,8180,VENTA,2023-03-11 12:47:30.984967881
1121,703102912177,LECHE EN POLVO 400G,4790,2,9580,VENTA,2023-04-19 12:22:44.766720379
1121,743543068824,CARGADOR USB 2.4A,2272,2,8600,VENTA,2023-08-27 20:40:54.319766473
1121,737328112719,PALITOS SALADOS 100G,2990,1,2990,VENTA,2023-09-22 10:56:36.662022654
1122,731342889773,CABLE JACK 3.5MM 1MT,1195,1,1800,VENTA,2023-04-22 20:43:51.814841265
1123,724030223967,ALCOHOL GEL 100ML,3095,2,6380,VENTA,2023-05-20 12:38:53.314354369
1124,743543068824,CARGADOR USB 2.4A,2272,1,4300,VENTA,2023-07-31 02:52:04.904814401
1124,743752337768,BEBIDA COCA COLA 500ML,2800,2,10200,VENTA,2023-10-15 21:39:06.481775030
1124,707037023369,MEMORIA SD 32GB,3300,1,2700,VENTA,2023-07-29 03:46:50.951409747
1125,759743227841,CABLE USB 1MT,3563,1,5600,VENTA,2023-06-10 03:38:12.307289688
